step_num,timestamp,peak_g,step_interval,step_interval_var_5,peak_g_var_5,gyro_norm_at_peak,gyro_x_rms,gyro_y_rms,gyro_z_rms,lr_asymmetry,gravity_x_std,gravity_y_std,pitch_std,roll_std,heading_change,step_length
1,15:08:05,0.2184377689552387,0.5,0.0,0.0,1.0344137413147592,0.8018471587264988,0.6786220162145041,0.1916962705953168,0.2184377689552387,0.008744695989465508,0.005286456931079906,0.033926807995841905,0.16727469546598223,0.0,0.2749462261035958
2,15:08:06,0.782992065953314,0.4975121021270752,3.094817913051884e-06,0.15936077712949553,1.7962386785950397,1.9904815128463003,1.2333501631522863,0.48791320246226905,0.5645542969980754,0.03542510153399461,0.05394725840623288,0.1610976653729941,1.0406855014403007,-1.9135604446686876,0.3813815664519263
3,15:08:06,0.32235751061514384,0.49759793281555176,1.994488248631872e-06,0.09028417675620772,1.0548137055685158,1.8411163834185007,1.4451788319301224,0.649706526436366,0.4606345553381702,0.04442578940645453,0.04801511013925194,0.14843589113116384,1.8423092732562107,2.6717908198832965,0.3431911290641876
4,15:08:07,0.7521568666567854,0.498121976852417,1.3450391473194638e-06,0.08435328597983882,0.9444602211021196,1.7812031813416345,1.219710031665818,0.6560322134234314,0.42979935604164154,0.03871071713030723,0.05289623349988019,0.16195522784959016,1.841263162309118,-2.2469488365514074,0.36547817036104896
5,15:08:08,0.47100964495183295,0.5749250650405884,0.0011750436200770765,0.06372531163158586,3.415530523035328,1.766220235717147,1.3835815945465815,0.5617228648641958,0.28114722170495243,0.036353146397319805,0.05204182138692017,0.16044983337159524,0.7226864311883093,1.3993024571457333,0.3079470995426621
6,15:08:08,0.8557546198445226,0.4398369789123535,0.002309015006449044,0.052245239671201246,1.739540386718427,1.7270187531785608,1.4966354391979515,0.5749753435561746,0.38474497489268966,0.03739525401345889,0.0567831139008702,0.1692096127224227,0.7290795235648704,-1.543526550309291,0.3822501322735273
7,15:08:09,0.43302077958327867,0.5975069999694824,0.0041044858997423715,0.05116918124196848,2.834223269915151,1.7090836251900368,1.3335853184232827,0.49414522162529195,0.42273384026124394,0.03985294430467718,0.05689685014639686,0.16919321983261582,0.7446108085817985,1.741417832791698,0.30321718096163797
8,15:08:09,0.8988806422043597,0.43750905990600586,0.005547682634926332,0.047164328405822784,2.8568836801369346,1.800890276679706,1.425267317883523,0.621254611452562,0.46585986262108103,0.03791802790705679,0.05281224743313571,0.1614724476866613,0.725393215665204,-1.656769895301661,0.37331723396360544
9,15:08:10,0.3767715974959698,0.5772029161453247,0.006345385372308953,0.062210098766660865,2.2597010779444964,1.6688265051133362,1.471227756524543,0.6296291639421563,0.5221090447083899,0.03320289746573739,0.051967655926674385,0.1610758663641008,0.8332611616205101,1.9994771304919265,0.3205769864298754
10,15:08:10,0.8502459968882029,0.4579310417175293,0.006185615308791624,0.0651713144172383,1.863050845261043,1.8554079172248907,1.3912568446394917,0.5981518741741912,0.4734743993922331,0.035201350388453505,0.06081044870787301,0.17855981853884903,0.8601112194005514,-2.074117277289027,0.3807174296769574
11,15:08:11,0.4349687252746886,0.5576330423355103,0.005299671407418316,0.06422338166876862,3.166599467905785,1.9532001650178175,1.4666063706821018,0.6130816151657841,0.4152772716135143,0.03434340809352052,0.05986673771749821,0.17629067305833118,0.8319087585383497,1.6344492933293924,0.2906007786504896
12,15:08:11,0.6818894265774417,0.4378039836883545,0.004655335099793944,0.055984670981113725,0.4381839872778987,1.892626746527188,1.426673766369363,0.5591859859078698,0.24692070130275307,0.03430165313953682,0.05628935133565974,0.17019340942948816,0.8328323230183722,-1.589267181117573,0.3722620164213544
13,15:08:11,0.23699401000489292,0.47775495052337646,0.0038502443789141696,0.060758623747845006,1.3510899592815018,1.8980410852734486,1.5671574014731102,0.5309852322900631,0.4448954165725487,0.03447947856903014,0.05616358306095241,0.1696065480275938,0.7626626439667573,2.1844269340541302,0.27273459845830905
14,15:08:12,0.7769123644118673,0.5574359893798828,0.003181816276476468,0.06489086804729638,1.53430990288315,1.7540708944273922,1.6031930679415523,0.6114041432802635,0.5399183544069743,0.03634068962113816,0.04967194374488052,0.15553121514408025,0.7363804927014169,-2.0347723563028555,0.35329149935118354
15,15:08:13,0.30607126052896305,0.5155620574951172,0.0026997802742201316,0.05499396273937067,1.5805322973620326,1.636417910770582,1.520477562849024,0.5972463927069316,0.47084110388290423,0.02637872679943692,0.04969326039110734,0.1580022425257155,0.7314596062242852,2.151835805903035,0.2919666473274278
16,15:08:13,1.1258609261597707,0.519806981086731,0.002070645626976386,0.13235953535511136,1.742410345067971,1.8768943575301087,1.6083930217052764,0.6301044166881798,0.8197896656308077,0.030908224398333736,0.05954518786672981,0.17638413351182022,0.8105268811168913,-2.1510184059530224,0.3754457542410791
