step_num,timestamp,peak_g,step_interval,step_interval_var_5,peak_g_var_5,gyro_norm_at_peak,gyro_x_rms,gyro_y_rms,gyro_z_rms,lr_asymmetry,gravity_x_std,gravity_y_std,pitch_std,roll_std,heading_change,step_length
1,15:01:46,1.0804778518963842,0.5,0.0,0.0,4.664587581767068,1.3416871730102664,3.1815464920562926,3.4698330898044434,1.0804778518963842,0.32216454870428,0.47595402145324406,0.5110502368667657,0.675863390751935,0.0,0.41870465135269747
2,15:01:47,0.858214502218942,0.579300045967102,0.003144248645192249,0.024700498304918477,2.699662292065585,1.8946521281805107,3.519768967534563,3.56975115098373,0.2222633496774422,0.3061639424330105,0.5502188392039323,0.6299555683150335,0.6060678644239027,-0.1511691426041719,0.3440440668194492
3,15:01:47,0.696153717971016,0.3384789228439331,0.015062061499724185,0.03722828905306236,1.8728122422042255,1.729867910836681,2.6029741747957997,2.512771368473602,0.16206078424792603,0.2966595827839395,0.16833775685217958,0.2374317077994965,0.6361081936603726,-0.014445839149500928,0.4020032630245027
4,15:01:48,0.4289693148168907,0.43820202350616455,0.010337058970429544,0.07528933703354035,2.4097190531572155,1.7439026495331333,2.3246894099665094,2.7899602905396326,0.2671844031541253,0.2882392022363773,0.19895033498992884,0.32292093608916844,0.5764599930320786,-0.41250211230561573,0.3908457477919918
5,15:01:48,1.542125030346771,0.4349139928817749,0.007921938108594873,0.17695534403186852,2.859522709215646,1.775418230492935,1.8801647071783474,2.2506682183563558,1.1131557155298804,0.253454684954174,0.1513568406106235,0.2695940213901603,0.6064337217285024,1.7633279880770099,0.4667817545856199
6,15:01:49,0.43290793026493857,0.4606599807739258,0.007408846000882363,0.20924907327746203,2.3398161928609613,1.8524682433324193,2.3078116580861887,1.2041492744019031,1.1092171000818325,0.10645190668220572,0.045098425615829066,0.15723701571033355,1.3574771432139754,2.8671413392360288,0.35650729657875224
7,15:01:49,1.321660196643985,0.4579010009765625,0.002526817715396135,0.2676243872735798,0.9035045344217243,2.133462174336934,2.1986844382060604,0.9494855972550929,0.8887522663790464,0.07101722517541595,0.055718895796816506,0.18013405156717321,2.587347916345309,-2.486871070523989,0.44239146726568906
8,15:01:49,0.3569039291061843,0.41795897483825684,0.00031090430614000297,0.3225674910901176,0.34999070697625173,2.037672666343098,1.8784202789077518,0.862067919331351,0.9647562675378006,0.05017831002609752,0.05584520791610919,0.17899477089883725,2.077248284498417,2.4770376173509305,0.3795792317091126
9,15:01:50,1.1329542243066562,0.47783708572387695,0.0005512682435949045,0.2852738899386286,0.9898180715093504,2.230596979331219,1.8123909545596262,0.8718786321281444,0.7760502952004719,0.051997087808922586,0.05480379012046954,0.1743207524455953,2.4412918422289325,-2.3396438439217264,0.45116659581786916
10,15:01:50,0.5552014556592796,0.477558970451355,0.0005964245171696803,0.191493777605979,2.9129578809051417,2.105972972074277,1.737388536532786,0.8830899213774008,0.5777527686473766,0.06241705954089094,0.05462422052660101,0.1703205538296585,2.288005038868573,1.7879413687409706,0.3752123560547395
11,15:01:51,1.3573583816243069,0.39358794689178467,0.001419801989992209,0.21125971322239812,1.8998832780559491,2.2551415654203084,1.6706356347046643,0.8451480408067824,0.8021569259650273,0.04741381428456257,0.05835537350230773,0.17720948434180345,1.859739873947655,-1.6872286013386417,0.4412416324819378
12,15:01:51,0.34657008202065176,0.5021970272064209,0.0020986522283223505,0.21769115734862196,2.347479884481601,2.1035916312949188,2.022093028668688,0.7808473330480705,1.010788299603655,0.04994652701909264,0.05882650540162517,0.17664782316435101,0.7761833725571142,1.5517756258418376,0.36528635395134984
13,15:01:52,1.201073899532953,0.4182140827178955,0.002094090008721139,0.19438121973448236,0.2704331425073791,2.251613950021812,2.1903963061562366,0.7411007775283315,0.8545038175123013,0.041521950077314934,0.05930301244331874,0.17480912283402497,0.6579529680979022,-1.8275846468458852,0.4445824291844537
14,15:01:52,0.34779388641706993,0.39785897731781006,0.0024153292886339274,0.23353776230194545,1.0545399991001858,2.0802640777822083,1.9660709718943878,0.7011602230439469,0.8532800131158831,0.029521555556847743,0.060420313542784716,0.17575773530501232,0.725971227552133,1.864595179042348,0.3807863797206338
15,15:01:53,1.1450048114113633,0.47815096378326416,0.002427143216156935,0.24224422030085196,3.7866734706449128,2.4198641162866363,2.1016655897217027,0.7792975467103486,0.7972109249942934,0.03411787434693312,0.06625084685278963,0.18071806779239252,0.6548851615828453,-2.167673158705475,0.44241942038600846
16,15:01:53,0.3925973405542055,0.39784204959869385,0.0023362921486452136,0.19791646389720574,1.4574446060322497,2.2855952276023856,2.302949655434544,0.8431136457069071,0.7524074708571579,0.038107422567769174,0.06541575785222534,0.1791336157540333,0.7667116496403171,2.0221883541627594,0.40799219249286667
17,15:01:53,1.4472474438498892,0.45804691314697266,0.0013278072640972027,0.25307857342983475,1.2593124292929334,2.4796346566508567,1.9941234551433349,0.9602087074398465,1.0546501032956836,0.05793661111139395,0.06591899880315008,0.17559516769555614,1.0765095176277857,-2.0694941059660943,0.45820808328821494
18,15:01:54,0.6004120770143763,0.47607600688934326,0.0016557760298240964,0.23684097423116401,2.81096409019993,2.2114092574144024,1.9029432015121202,1.0175472796287477,0.846835366835513,0.06909284423556893,0.06069330613677535,0.17136090520454011,1.3561525634745348,1.9467564439171758,0.40021514756743004
